column,n_claim_types_present,carrier,outpatient,dme
LINE_ICD_DGNS_CD,1,0.5160317738840287,1.0,1.0
LINE_ICD_DGNS_VRSN_CD,2,0.0,1.0,0.0
HPSA_SCRCTY_IND_CD,1,0.0,1.0,1.0
CARR_LINE_RX_NUM,0,1.0,1.0,1.0
LINE_HCT_HGB_RSLT_NUM,2,0.0,1.0,0.0
LINE_HCT_HGB_TYPE_CD,1,0.0,1.0,1.0
LINE_NDC_CD,0,1.0,1.0,1.0
CARR_LINE_CLIA_LAB_NUM,1,0.9640621997175779,1.0,1.0
CARR_LINE_ANSTHSA_UNIT_CNT,1,0.0,1.0,1.0
CLAIM_QUERY_CODE,1,1.0,0.0,1.0
PRVDR_NUM,2,1.0,0.0003700257385550495,0.0
CLM_FAC_TYPE_CD,1,1.0,0.0,1.0
CLM_SRVC_CLSFCTN_TYPE_CD,1,1.0,0.0,1.0
CLM_FREQ_CD,1,1.0,0.0,1.0
FI_NUM,0,1.0,1.0,1.0
CLM_MDCR_NON_PMT_RSN_CD,1,1.0,0.0,1.0
NCH_PRMRY_PYR_CLM_PD_AMT,1,1.0,0.0,1.0
NCH_PRMRY_PYR_CD,1,1.0,0.0,1.0
AT_PHYSN_UPIN,1,1.0,0.0,1.0
OP_PHYSN_UPIN,1,1.0,0.0,1.0
CLM_MCO_PD_SW,1,1.0,0.0,1.0
PTNT_DSCHRG_STUS_CD,1,1.0,0.0,1.0
CLM_TOT_CHRG_AMT,1,1.0,0.0,1.0
NCH_BENE_BLOOD_DDCTBL_LBLTY_AM,1,1.0,0.0,1.0
NCH_PROFNL_CMPNT_CHRG_AMT,1,1.0,0.0,1.0
ICD_DGNS_CD13,1,1.0,0.15148472827595214,1.0
ICD_DGNS_CD14,1,1.0,0.18087184593869543,1.0
ICD_DGNS_CD15,1,1.0,0.2226330596231179,1.0
ICD_DGNS_CD16,1,1.0,0.2716233790968107,1.0
ICD_DGNS_CD17,1,1.0,0.32765234993551756,1.0
ICD_DGNS_CD18,1,1.0,0.3936339248303595,1.0
ICD_DGNS_CD19,1,1.0,0.4729309847582045,1.0
ICD_DGNS_CD20,1,1.0,0.5484461639758177,1.0
ICD_DGNS_CD21,1,1.0,0.6180572560414864,1.0
ICD_DGNS_CD22,1,1.0,0.687594887114942,1.0
ICD_DGNS_CD23,1,1.0,0.7509781195074304,1.0
ICD_DGNS_CD24,1,1.0,0.804808702134722,1.0
ICD_DGNS_CD25,1,1.0,0.850618432723335,1.0
FST_DGNS_E_CD,1,1.0,0.03161543442654173,1.0
ICD_DGNS_E_CD1,1,1.0,0.03161543442654173,1.0
ICD_DGNS_E_CD2,1,1.0,0.0,1.0
ICD_DGNS_E_CD3,1,1.0,0.0,1.0
ICD_DGNS_E_CD4,1,1.0,0.0,1.0
ICD_DGNS_E_CD5,1,1.0,0.0,1.0
ICD_DGNS_E_CD6,1,1.0,0.0,1.0
ICD_DGNS_E_CD7,1,1.0,0.0,1.0
ICD_DGNS_E_CD8,1,1.0,0.0,1.0
ICD_DGNS_E_CD9,1,1.0,0.0,1.0
ICD_DGNS_E_CD10,1,1.0,0.0,1.0
ICD_DGNS_E_CD11,1,1.0,0.0,1.0
ICD_DGNS_E_CD12,1,1.0,0.0,1.0
ICD_PRCDR_CD1,1,1.0,0.028576325970909446,1.0
PRCDR_DT1,1,1.0,0.028576325970909446,1.0
ICD_PRCDR_CD2,1,1.0,0.20951891212432866,1.0
PRCDR_DT2,1,1.0,0.20951891212432866,1.0
ICD_PRCDR_CD3,1,1.0,0.22884459463136186,1.0
PRCDR_DT3,1,1.0,0.22884459463136186,1.0
ICD_PRCDR_CD4,1,1.0,0.2602532499687111,1.0
PRCDR_DT4,1,1.0,0.2602532499687111,1.0
ICD_PRCDR_CD5,1,1.0,0.2928644889563642,1.0
PRCDR_DT5,1,1.0,0.2928644889563642,1.0
ICD_PRCDR_CD6,1,1.0,0.36109886761240895,1.0
PRCDR_DT6,1,1.0,0.36109886761240895,1.0
ICD_PRCDR_CD7,1,1.0,0.4757061777973674,1.0
PRCDR_DT7,1,1.0,0.4757061777973674,1.0
ICD_PRCDR_CD8,1,1.0,0.6367435558385164,1.0
PRCDR_DT8,1,1.0,0.6367435558385164,1.0
ICD_PRCDR_CD9,1,1.0,0.8419119447573339,1.0
PRCDR_DT9,1,1.0,0.8419119447573339,1.0
ICD_PRCDR_CD10,1,1.0,0.9750123795375767,1.0
PRCDR_DT10,1,1.0,0.9750123795375767,1.0
ICD_PRCDR_CD11,1,1.0,0.9981689167496504,1.0
PRCDR_DT11,1,1.0,0.9981689167496504,1.0
ICD_PRCDR_CD12,1,1.0,0.9996571820363387,1.0
PRCDR_DT12,1,1.0,0.9996571820363387,1.0
ICD_PRCDR_CD13,1,1.0,0.9996571820363387,1.0
PRCDR_DT13,1,1.0,0.9996571820363387,1.0
ICD_PRCDR_CD14,1,1.0,0.9996571820363387,1.0
PRCDR_DT14,1,1.0,0.9996571820363387,1.0
ICD_PRCDR_CD15,1,1.0,0.9996571820363387,1.0
PRCDR_DT15,1,1.0,0.9996571820363387,1.0
ICD_PRCDR_CD16,1,1.0,0.9996571820363387,1.0
PRCDR_DT16,1,1.0,0.9996571820363387,1.0
ICD_PRCDR_CD17,1,1.0,0.9996571820363387,1.0
PRCDR_DT17,1,1.0,0.9996571820363387,1.0
ICD_PRCDR_CD18,1,1.0,0.9996680651462962,1.0
PRCDR_DT18,1,1.0,0.9996680651462962,1.0
ICD_PRCDR_CD19,1,1.0,0.9996680651462962,1.0
PRCDR_DT19,1,1.0,0.9996680651462962,1.0
ICD_PRCDR_CD20,1,1.0,0.9996680651462962,1.0
PRCDR_DT20,1,1.0,0.9996680651462962,1.0
ICD_PRCDR_CD21,1,1.0,0.9996680651462962,1.0
PRCDR_DT21,1,1.0,0.9996680651462962,1.0
ICD_PRCDR_CD22,1,1.0,0.9996680651462962,1.0
PRCDR_DT22,1,1.0,0.9996680651462962,1.0
ICD_PRCDR_CD23,1,1.0,0.9996680651462962,1.0
PRCDR_DT23,1,1.0,0.9996680651462962,1.0
ICD_PRCDR_CD24,1,1.0,0.9998966104554038,1.0
PRCDR_DT24,1,1.0,0.9998966104554038,1.0
NCH_BENE_PTB_DDCTBL_AMT,1,1.0,0.0,1.0
NCH_BENE_PTB_COINSRNC_AMT,1,1.0,0.0,1.0
CLM_OP_PRVDR_PMT_AMT,1,1.0,0.0,1.0
CLM_OP_BENE_PMT_AMT,1,1.0,0.0,1.0
CLM_LINE_NUM,1,1.0,0.0,1.0
REV_CNTR,1,1.0,0.0,1.0
REV_CNTR_DT,1,1.0,0.0,1.0
REV_CNTR_1ST_ANSI_CD,0,1.0,1.0,1.0
REV_CNTR_2ND_ANSI_CD,0,1.0,1.0,1.0
REV_CNTR_3RD_ANSI_CD,0,1.0,1.0,1.0
REV_CNTR_4TH_ANSI_CD,0,1.0,1.0,1.0
REV_CNTR_APC_HIPPS_CD,0,1.0,1.0,1.0
REV_CNTR_PMT_MTHD_IND_CD,1,1.0,0.0,1.0
REV_CNTR_DSCNT_IND_CD,0,1.0,1.0,1.0
REV_CNTR_PACKG_IND_CD,0,1.0,1.0,1.0
REV_CNTR_OTAF_PMT_CD,0,1.0,1.0,1.0
REV_CNTR_IDE_NDC_UPC_NUM,0,1.0,1.0,1.0
REV_CNTR_UNIT_CNT,1,1.0,0.0,1.0
REV_CNTR_RATE_AMT,1,1.0,0.02833961832933379,1.0
REV_CNTR_BLOOD_DDCTBL_AMT,1,1.0,0.0,1.0
REV_CNTR_CASH_DDCTBL_AMT,1,1.0,0.0,1.0
REV_CNTR_COINSRNC_WGE_ADJSTD_C,1,1.0,0.0,1.0
REV_CNTR_RDCD_COINSRNC_AMT,1,1.0,0.0,1.0
REV_CNTR_1ST_MSP_PD_AMT,1,1.0,0.0,1.0
REV_CNTR_2ND_MSP_PD_AMT,1,1.0,0.0,1.0
REV_CNTR_PRVDR_PMT_AMT,1,1.0,0.0,1.0
REV_CNTR_BENE_PMT_AMT,1,1.0,0.0,1.0
REV_CNTR_PTNT_RSPNSBLTY_PMT,1,1.0,0.0,1.0
REV_CNTR_PMT_AMT_AMT,1,1.0,0.0,1.0
REV_CNTR_TOT_CHRG_AMT,1,1.0,0.0,1.0
REV_CNTR_NCVRD_CHRG_AMT,1,1.0,0.0,1.0
REV_CNTR_STUS_IND_CD,1,1.0,0.0,1.0
REV_CNTR_NDC_QTY_QLFR_CD,0,1.0,1.0,1.0
RNDRNG_PHYSN_UPIN,1,1.0,0.0,1.0
LINE_PRMRY_ALOWD_CHRG_AMT,1,1.0,1.0,0.0
DMERC_LINE_PRCNG_STATE_CD,1,1.0,1.0,0.0
DMERC_LINE_SUPPLR_TYPE_CD,1,1.0,1.0,0.0
HCPCS_3RD_MDFR_CD,0,1.0,1.0,1.0
HCPCS_4TH_MDFR_CD,0,1.0,1.0,1.0
DMERC_LINE_SCRN_SVGS_AMT,1,1.0,1.0,0.0
DMERC_LINE_MTUS_CNT,1,1.0,1.0,0.11491671063541117
DMERC_LINE_MTUS_CD,1,1.0,1.0,0.0
has_referring_physician,3,0.0,0.0,0.0
has_performing_physician,3,0.0,0.0,0.0
has_attending_physician,3,0.0,0.0,0.0
has_operating_physician,3,0.0,0.0,0.0
has_rendering_physician,3,0.0,0.0,0.0
provider_state,3,0.0,0.0,0.0
