column,dtype,n_present,carrier_null,outpatient_null,dme_null
CARR_CLM_CASH_DDCTBL_APLD_AMT,float64,2,0.0,1.0,0.0
CARR_CLM_PRMRY_PYR_PD_AMT,float64,2,0.0,1.0,0.0
CARR_NUM,str,2,0.0,1.0,0.0
LINE_ALOWD_CHRG_AMT,float64,2,0.0,1.0,0.0
LINE_BENE_PMT_AMT,float64,2,0.0,1.0,0.0
LINE_BENE_PRMRY_PYR_PD_AMT,float64,2,0.0,1.0,0.0
LINE_BENE_PTB_DDCTBL_AMT,float64,2,0.0,1.0,0.0
LINE_NCH_PMT_AMT,float64,2,0.0,1.0,0.0
LINE_SRVC_CNT,float64,2,0.0,1.0,0.0
NCH_CARR_CLM_ALOWD_AMT,float64,2,0.0,1.0,0.0
NCH_CARR_CLM_SBMTD_CHRG_AMT,float64,2,0.0,1.0,0.0
NCH_CLM_BENE_PMT_AMT,float64,2,0.0,1.0,0.0
PRVDR_NUM,str,2,1.0,0.0004,0.0
AT_PHYSN_UPIN,str,3,0.0,0.0,0.0
BETOS_CD,str,3,0.8375,0.0,0.0
CARR_CLM_BLG_NPI_NUM,str,3,0.0,0.0,0.0
CARR_CLM_ENTRY_CD,str,3,0.0,0.0,0.0
CARR_CLM_HCPCS_YR_CD,str,3,0.0,0.0,0.0
CARR_CLM_PMT_DNL_CD,str,3,0.0,0.0,0.0
CARR_CLM_PRVDR_ASGNMT_IND_SW,str,3,0.0,0.0,0.0
CARR_CLM_RFRNG_PIN_NUM,str,3,0.778,0.0,0.0
CARR_LINE_CLIA_LAB_NUM,str,3,0.9641,0.0,0.0
CARR_LINE_MTUS_CD,str,3,0.0,0.0,0.0
CARR_LINE_PRCNG_LCLTY_CD,str,3,0.0,0.0,0.0
CARR_LINE_PRVDR_TYPE_CD,str,3,0.0,0.0,0.0
CARR_LINE_RX_NUM,str,3,0.0,0.0,0.0
CARR_PRFRNG_PIN_NUM,str,3,0.778,0.0,0.0
CLM_CLNCL_TRIL_NUM,str,3,0.0,0.0,0.0
CLM_DISP_CD,str,3,0.0,0.0,0.0
CLM_FAC_TYPE_CD,str,3,0.0,0.0,0.0
CLM_FREQ_CD,str,3,0.0,0.0,0.0
CLM_FROM_DT,str,3,0.0,0.0,0.0
CLM_LINE_NUM,str,3,0.0,0.0,0.0
CLM_MDCR_NON_PMT_RSN_CD,str,3,0.0,0.0,0.0
CLM_SRVC_CLSFCTN_TYPE_CD,str,3,0.0,0.0,0.0
CLM_THRU_DT,str,3,0.0,0.0,0.0
DMERC_LINE_MTUS_CD,str,3,0.0,0.0,0.0
DMERC_LINE_PRCNG_STATE_CD,str,3,0.0,0.0,0.0
DMERC_LINE_SUPPLR_TYPE_CD,str,3,0.0,0.0,0.0
FI_NUM,str,3,0.0,0.0,0.0
FST_DGNS_E_CD,str,3,0.0,0.0316,0.0
HCPCS_1ST_MDFR_CD,str,3,0.0,0.0,0.0
HCPCS_2ND_MDFR_CD,str,3,0.0,0.0,0.0
HCPCS_3RD_MDFR_CD,str,3,0.0,0.0,0.0
HCPCS_4TH_MDFR_CD,str,3,0.0,0.0,0.0
HCPCS_CD,str,3,0.6247,0.0,0.0
HPSA_SCRCTY_IND_CD,str,3,0.0,0.0,0.0
ICD_DGNS_CD1,str,3,0.0,0.0,0.0
ICD_DGNS_CD10,str,3,0.1833,0.0797,0.1622
ICD_DGNS_CD11,str,3,0.2371,0.0995,0.2293
ICD_DGNS_CD12,str,3,0.2881,0.1215,0.2963
ICD_DGNS_CD13,str,3,0.0,0.1515,0.0
ICD_DGNS_CD14,str,3,0.0,0.1809,0.0
ICD_DGNS_CD15,str,3,0.0,0.2226,0.0
ICD_DGNS_CD16,str,3,0.0,0.2716,0.0
ICD_DGNS_CD17,str,3,0.0,0.3277,0.0
ICD_DGNS_CD18,str,3,0.0,0.3936,0.0
ICD_DGNS_CD19,str,3,0.0,0.4729,0.0
ICD_DGNS_CD2,str,3,0.0027,0.0009,0.0
ICD_DGNS_CD20,str,3,0.0,0.5484,0.0
ICD_DGNS_CD21,str,3,0.0,0.6181,0.0
ICD_DGNS_CD22,str,3,0.0,0.6876,0.0
ICD_DGNS_CD23,str,3,0.0,0.751,0.0
ICD_DGNS_CD24,str,3,0.0,0.8048,0.0
ICD_DGNS_CD25,str,3,0.0,0.8506,0.0
ICD_DGNS_CD3,str,3,0.0075,0.0038,0.0002
ICD_DGNS_CD4,str,3,0.0149,0.0088,0.0015
ICD_DGNS_CD5,str,3,0.024,0.0155,0.0049
ICD_DGNS_CD6,str,3,0.0383,0.0228,0.0148
ICD_DGNS_CD7,str,3,0.064,0.0325,0.0349
ICD_DGNS_CD8,str,3,0.0957,0.0456,0.0653
ICD_DGNS_CD9,str,3,0.1368,0.0612,0.1087
ICD_DGNS_E_CD1,str,3,0.0,0.0316,0.0
ICD_DGNS_E_CD10,str,3,0.0,0.0,0.0
ICD_DGNS_E_CD11,str,3,0.0,0.0,0.0
ICD_DGNS_E_CD12,str,3,0.0,0.0,0.0
ICD_DGNS_E_CD2,str,3,0.0,0.0,0.0
ICD_DGNS_E_CD3,str,3,0.0,0.0,0.0
ICD_DGNS_E_CD4,str,3,0.0,0.0,0.0
ICD_DGNS_E_CD5,str,3,0.0,0.0,0.0
ICD_DGNS_E_CD6,str,3,0.0,0.0,0.0
ICD_DGNS_E_CD7,str,3,0.0,0.0,0.0
ICD_DGNS_E_CD8,str,3,0.0,0.0,0.0
ICD_DGNS_E_CD9,str,3,0.0,0.0,0.0
ICD_PRCDR_CD1,str,3,0.0,0.0286,0.0
ICD_PRCDR_CD10,str,3,0.0,0.975,0.0
ICD_PRCDR_CD11,str,3,0.0,0.9982,0.0
ICD_PRCDR_CD12,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD13,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD14,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD15,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD16,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD17,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD18,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD19,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD2,str,3,0.0,0.2095,0.0
ICD_PRCDR_CD20,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD21,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD22,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD23,str,3,0.0,0.9997,0.0
ICD_PRCDR_CD24,str,3,0.0,0.9999,0.0
ICD_PRCDR_CD3,str,3,0.0,0.2288,0.0
ICD_PRCDR_CD4,str,3,0.0,0.2603,0.0
ICD_PRCDR_CD5,str,3,0.0,0.2929,0.0
ICD_PRCDR_CD6,str,3,0.0,0.3611,0.0
ICD_PRCDR_CD7,str,3,0.0,0.4757,0.0
ICD_PRCDR_CD8,str,3,0.0,0.6367,0.0
ICD_PRCDR_CD9,str,3,0.0,0.8419,0.0
LINE_1ST_EXPNS_DT,str,3,0.0,0.0,0.0
LINE_BENE_PRMRY_PYR_CD,str,3,0.0,0.0,0.0
LINE_HCT_HGB_RSLT_NUM,str,3,0.0,0.0,0.0
LINE_HCT_HGB_TYPE_CD,str,3,0.0,0.0,0.0
LINE_ICD_DGNS_CD,str,3,0.516,0.0,0.0
LINE_ICD_DGNS_VRSN_CD,str,3,0.0,0.0,0.0
LINE_LAST_EXPNS_DT,str,3,0.0,0.0,0.0
LINE_NDC_CD,str,3,0.0,0.0,0.0
LINE_NUM,str,3,0.0,0.0,0.0
LINE_PLACE_OF_SRVC_CD,str,3,0.0,0.0,0.0
LINE_PMT_80_100_CD,str,3,0.0,0.0,0.0
LINE_PRCSG_IND_CD,str,3,0.0,0.0,0.0
NCH_PRMRY_PYR_CD,str,3,0.0,0.0,0.0
NCH_WKLY_PROC_DT,str,3,0.0,0.0,0.0
OP_PHYSN_UPIN,str,3,0.0,0.0,0.0
ORG_NPI_NUM,str,3,0.0,0.0,0.0
PRCDR_DT1,str,3,0.0,0.0286,0.0
PRCDR_DT10,str,3,0.0,0.975,0.0
PRCDR_DT11,str,3,0.0,0.9982,0.0
PRCDR_DT12,str,3,0.0,0.9997,0.0
PRCDR_DT13,str,3,0.0,0.9997,0.0
PRCDR_DT14,str,3,0.0,0.9997,0.0
PRCDR_DT15,str,3,0.0,0.9997,0.0
PRCDR_DT16,str,3,0.0,0.9997,0.0
PRCDR_DT17,str,3,0.0,0.9997,0.0
PRCDR_DT18,str,3,0.0,0.9997,0.0
PRCDR_DT19,str,3,0.0,0.9997,0.0
PRCDR_DT2,str,3,0.0,0.2095,0.0
PRCDR_DT20,str,3,0.0,0.9997,0.0
PRCDR_DT21,str,3,0.0,0.9997,0.0
PRCDR_DT22,str,3,0.0,0.9997,0.0
PRCDR_DT23,str,3,0.0,0.9997,0.0
PRCDR_DT24,str,3,0.0,0.9999,0.0
PRCDR_DT3,str,3,0.0,0.2288,0.0
PRCDR_DT4,str,3,0.0,0.2603,0.0
PRCDR_DT5,str,3,0.0,0.2929,0.0
PRCDR_DT6,str,3,0.0,0.3611,0.0
PRCDR_DT7,str,3,0.0,0.4757,0.0
PRCDR_DT8,str,3,0.0,0.6367,0.0
PRCDR_DT9,str,3,0.0,0.8419,0.0
PRF_PHYSN_UPIN,str,3,0.9008,0.0,0.0
PRNCPAL_DGNS_CD,str,3,0.0,0.0,0.0
PRTCPTNG_IND_CD,str,3,0.0,0.0,0.0
PTNT_DSCHRG_STUS_CD,str,3,0.0,0.0,0.0
REV_CNTR_1ST_ANSI_CD,str,3,0.0,0.0,0.0
REV_CNTR_2ND_ANSI_CD,str,3,0.0,0.0,0.0
REV_CNTR_3RD_ANSI_CD,str,3,0.0,0.0,0.0
REV_CNTR_4TH_ANSI_CD,str,3,0.0,0.0,0.0
REV_CNTR_APC_HIPPS_CD,str,3,0.0,0.0,0.0
REV_CNTR_DSCNT_IND_CD,str,3,0.0,0.0,0.0
REV_CNTR_DT,str,3,0.0,0.0,0.0
REV_CNTR_IDE_NDC_UPC_NUM,str,3,0.0,0.0,0.0
REV_CNTR_NDC_QTY_QLFR_CD,str,3,0.0,0.0,0.0
REV_CNTR_OTAF_PMT_CD,str,3,0.0,0.0,0.0
REV_CNTR_PACKG_IND_CD,str,3,0.0,0.0,0.0
REV_CNTR_PMT_MTHD_IND_CD,str,3,0.0,0.0,0.0
REV_CNTR_STUS_IND_CD,str,3,0.0,0.0,0.0
RFR_PHYSN_UPIN,str,3,0.9008,0.0,0.9375
RNDRNG_PHYSN_UPIN,str,3,0.0,0.0,0.0
TAX_NUM,str,3,0.0,0.0,0.0
has_attending_physician,int64,3,0.0,0.0,0.0
has_operating_physician,int64,3,0.0,0.0,0.0
has_performing_physician,int64,3,0.0,0.0,0.0
has_referring_physician,int64,3,0.0,0.0,0.0
has_rendering_physician,int64,3,0.0,0.0,0.0
provider_state,str,3,0.0,0.0,0.0
